hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0.0,7,0,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,0,0,214.65992721391024,0.0,0.0,75.0,0.0,0.0
Resort Hotel,0.0,13,0,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,0,0,304.0,0.0,0.0,75.0,0.0,0.0
Resort Hotel,0.0,14,0,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,98.0,0.0,1.0
Resort Hotel,0.0,0,0,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,0,0,214.65992721391024,0.0,0.0,107.0,0.0,0.0
Resort Hotel,0.0,9,0,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,0,0,303.0,0.0,0.0,103.0,0.0,1.0
Resort Hotel,1.0,85,0,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,82.0,0.0,1.0
Resort Hotel,1.0,75,0,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,0,15.0,0.0,0.0,105.5,0.0,0.0
Resort Hotel,1.0,23,0,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,35,0,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,145.0,0.0,0.0
Resort Hotel,0.0,68,0,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,97.0,0.0,3.0
Resort Hotel,0.0,37,0,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,241.0,0.0,0.0,94.71,0.0,0.0
Resort Hotel,0.0,68,0,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,97.0,0.0,3.0
Resort Hotel,0.0,37,0,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,0,0,8.0,0.0,1.0,97.5,0.0,0.0
Resort Hotel,0.0,12,0,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,88.2,0.0,0.0
Resort Hotel,0.0,0,0,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,0,0,214.65992721391024,0.0,0.0,107.42,0.0,0.0
Resort Hotel,0.0,7,0,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,0,0,250.0,0.0,0.0,153.0,0.0,1.0
Resort Hotel,0.0,37,0,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,0,0,241.0,0.0,0.0,97.29,0.0,1.0
Resort Hotel,0.0,127,0,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,0,115.0,0.0,1.0,94.95,0.0,1.0
Resort Hotel,0.0,78,0,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,0,5.0,0.0,0.0,63.6,1.0,0.0
Resort Hotel,0.0,48,0,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,0,8.0,0.0,1.0,79.5,0.0,0.0
Resort Hotel,1.0,60,0,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,107.0,0.0,2.0
Resort Hotel,0.0,77,0,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,94.0,0.0,0.0
Resort Hotel,0.0,99,0,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,87.3,1.0,1.0
Resort Hotel,0.0,95,0,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,0,241.0,0.0,0.0,63.86,0.0,0.0
Resort Hotel,1.0,96,0,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,0,0,214.65992721391024,0.0,0.0,108.3,0.0,2.0
Resort Hotel,0.0,69,0,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,0,175.0,0.0,0.0,65.5,0.0,0.0
Resort Hotel,1.0,45,0,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,241.0,0.0,0.0,108.8,0.0,1.0
Resort Hotel,1.0,40,0,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,241.0,0.0,0.0,108.8,0.0,1.0
Resort Hotel,0.0,15,0,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,98.0,0.0,0.0
Resort Hotel,0.0,36,0,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,241.0,0.0,0.0,108.8,0.0,1.0
Resort Hotel,1.0,43,0,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,241.0,0.0,0.0,108.8,0.0,0.0
Resort Hotel,0.0,70,0,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,0,0,250.0,0.0,0.0,137.0,0.0,1.0
Resort Hotel,1.0,45,0,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,0,241.0,0.0,0.0,117.81,0.0,0.0
Resort Hotel,0.0,45,0,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,0,8.0,0.0,1.0,79.5,0.0,0.0
Resort Hotel,0.0,16,0,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,0,0,214.65992721391024,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,107,0,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,110.7,0.0,2.0
Resort Hotel,1.0,47,0,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,0,240.0,0.0,0.0,153.0,0.0,0.0
Resort Hotel,0.0,96,0,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,0,134.0,0.0,0.0,58.95,0.0,1.0
Resort Hotel,0.0,113,0,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,0,0,156.0,0.0,3.0,82.88,0.0,2.0
Resort Hotel,0.0,113,0,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,0,0,156.0,0.0,3.0,67.58,0.0,2.0
Resort Hotel,0.0,93,0,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,0,156.0,0.0,1.0,56.01,0.0,0.0
Resort Hotel,0.0,76,0,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,0,0,243.0,0.0,1.0,110.7,0.0,0.0
Resort Hotel,0.0,3,0,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,88.2,1.0,0.0
Resort Hotel,0.0,1,0,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,0,0,240.0,0.0,0.0,147.0,1.0,0.0
Resort Hotel,0.0,1,0,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,0,0,214.65992721391024,0.0,0.0,107.0,1.0,2.0
Resort Hotel,0.0,0,0,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,0,0,214.65992721391024,0.0,0.0,147.0,0.0,0.0
Resort Hotel,0.0,0,0,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,117.9,0.0,2.0
Resort Hotel,0.0,0,0,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,0,0,214.65992721391024,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,14,0,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,0,242.0,0.0,0.0,98.0,0.0,1.0
Resort Hotel,0.0,10,0,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,0,241.0,0.0,0.0,117.81,0.0,0.0
Resort Hotel,0.0,5,0,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,135.0,1.0,2.0
Resort Hotel,0.0,17,0,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,0,0,250.0,0.0,0.0,133.0,0.0,1.0
Resort Hotel,0.0,93,0,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,0,115.0,0.0,1.0,58.95,0.0,0.0
Resort Hotel,1.0,3,0,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,136.33,0.0,2.0
Resort Hotel,0.0,10,0,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,0,0,240.0,0.0,0.0,153.0,1.0,0.0
Resort Hotel,0.0,3,0,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,110.5,0.0,0.0
Resort Hotel,0.0,51,0,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,0,0,242.0,0.0,0.0,97.0,0.0,0.0
Resort Hotel,1.0,71,0,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,0,242.0,0.0,0.0,110.3,0.0,2.0
Resort Hotel,1.0,63,0,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,82.0,0.0,2.0
Resort Hotel,1.0,62,0,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,97.0,0.0,1.0
Resort Hotel,1.0,101,0,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,73.8,0.0,1.0
Resort Hotel,0.0,2,0,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,0,3.0,0.0,0.0,91.5,0.0,0.0
Resort Hotel,0.0,15,0,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,114.5,0.0,0.0
Resort Hotel,1.0,51,0,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,242.0,0.0,0.0,110.3,0.0,0.0
Resort Hotel,0.0,3,0,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,90.9,1.0,0.0
Resort Hotel,1.0,48,0,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,2,0,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,122.0,0.0,0.0
Resort Hotel,0.0,72,0,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,0,105.0,0.0,0.0,110.7,1.0,0.0
Resort Hotel,0.0,81,0,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,0,5.0,0.0,0.0,85.86,0.0,0.0
Resort Hotel,0.0,99,0,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,0,40.0,0.0,1.0,58.95,0.0,0.0
Resort Hotel,1.0,368,0,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,0,40.0,0.0,1.0,55.68,0.0,0.0
Resort Hotel,0.0,364,0,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,0,40.0,0.0,1.0,55.68,0.0,0.0
Resort Hotel,0.0,99,0,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,0,0,115.0,0.0,1.0,111.15,0.0,0.0
Resort Hotel,0.0,324,0,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,0,0,40.0,0.0,1.0,134.73,0.0,0.0
Resort Hotel,1.0,79,0,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,0,242.0,0.0,0.0,108.73,0.0,2.0
Resort Hotel,0.0,12,0,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,73.8,0.0,0.0
